,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
462378,12/11/2020 13:32,3.59622E+15,"fraud_Crist, Jakubowski and Littel",home,216.01,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,99ad029e9d661ad14dfbf2bc5ca1cf1e,1386768763,40.517061,-92.793208,1
462762,12/11/2020 15:23,3.59636E+15,fraud_Hills-Witting,shopping_net,878.46,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,cd4172ed4c50a7d20734f86383b431ab,1386775438,40.692369,-78.214276,1
464104,12/11/2020 22:24,3.59622E+15,"fraud_Mante, Luettgen and Hackett",health_fitness,21.84,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,0d83a3cf5e8d4b1d6c84a7b253e5cf72,1386800669,40.164139,-91.44729,1
464119,12/11/2020 22:29,4.5604E+18,"fraud_Conroy, Balistreri and Gorczany",health_fitness,18.46,Angela,Taylor,F,6343 Ramirez Skyway Apt. 518,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,10/18/1972,0563199dc605dc0674419f09949d5835,1386800956,39.868656,-123.337295,1
464229,12/11/2020 23:05,4.5604E+18,fraud_Ratke and Sons,health_fitness,17.35,Angela,Taylor,F,6343 Ramirez Skyway Apt. 518,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,10/18/1972,7e48fbbbc83523b3bd8e2a220c381255,1386803142,38.552146,-122.519483,1
464284,12/11/2020 23:19,4.5604E+18,fraud_Thompson-Gleason,health_fitness,19.45,Angela,Taylor,F,6343 Ramirez Skyway Apt. 518,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,10/18/1972,bfde75d978bb9905a4a8c87440692a4c,1386803973,39.25188,-122.490946,1
464351,12/11/2020 23:44,3.59636E+15,fraud_Kerluke-Abshire,shopping_net,1123.99,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,455799d91bb448b697c23be76ca78c7f,1386805463,40.671072,-78.694978,1
464428,12/12/2020 0:17,4.60707E+15,fraud_Kuvalis Ltd,gas_transport,6.62,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,d9b0bc0a691aedbaf01e1dc95f853619,1386807465,35.36238,-96.727226,1
464440,12/12/2020 0:21,3.59636E+15,fraud_Parisian and Sons,gas_transport,9.02,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,eab5d4dd83a9f54a3f772ca361cc7170,1386807701,40.872756,-78.418138,1
464451,12/12/2020 0:28,3.59622E+15,fraud_Rau and Sons,grocery_pos,381.5,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,78948981b7feea35ea7ea14c4fc1a95f,1386808088,40.645431,-92.476175,1
464452,12/12/2020 0:28,3.59636E+15,fraud_Doyle Ltd,grocery_pos,282.58,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,d2f3136c630bedef4444306113e1c5ca,1386808103,41.341283,-78.148225,1
464483,12/12/2020 0:41,4.60707E+15,fraud_Stoltenberg-Beatty,shopping_pos,851.46,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,94f63440c731d9ac891f7a83ecfc99c3,1386808878,35.608164,-97.960048,1
464493,12/12/2020 0:45,4.60707E+15,"fraud_Schumm, Bauch and Ondricka",grocery_pos,372.65,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,2fd711ac7d991e91bf47727e1f49d108,1386809127,36.350925,-98.064198,1
464505,12/12/2020 0:49,3.59622E+15,"fraud_Haley, Jewess and Bechtelar",shopping_pos,716.96,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,a8e4f148fb9c163af2bfd5ca642a644c,1386809353,41.088842,-92.742432,1
464569,12/12/2020 1:22,3.59636E+15,fraud_Pacocha-O'Reilly,grocery_pos,318.88,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,9974618d5ba0b42358355c1c13a5df37,1386811356,40.474432,-77.936721,1
464635,12/12/2020 1:57,4.60707E+15,fraud_Fisher-Schowalter,shopping_net,956.58,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,e5081b01f4e29ecb6f45035c6f191c9e,1386813430,36.419555,-98.121448,1
464810,12/12/2020 3:18,3.59622E+15,fraud_Bruen-Yost,misc_pos,717.14,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,44b9c3273bfeaa931586a19ee9941b3b,1386818331,40.368314,-92.514904,1
465956,12/12/2020 12:25,3.59622E+15,fraud_Kutch-Ferry,home,234.54,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,bfeedcce13c9e0649ac05940c64387a0,1386851118,40.438814,-91.177613,1
466344,12/12/2020 14:31,4.60707E+15,"fraud_O'Reilly, Mohr and Purdy",home,236.42,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,c47871718bf732766cf638b1068bd9ab,1386858697,35.306471,-97.40572,1
467238,12/12/2020 19:13,4.60707E+15,"fraud_Kihn, Brakus and Goyette",personal_care,21.71,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,1d0ceeca17bbfa0dc5f4a6652440a39e,1386875617,36.260217,-97.095572,1
467434,12/12/2020 20:21,4.60707E+15,fraud_Conroy-Emard,food_dining,146.09,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,f320ea7390c46c272b89334f14691733,1386879699,35.165522,-96.619586,1
467739,12/12/2020 22:19,4.60707E+15,fraud_Skiles LLC,home,230.99,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,d65b2a2334591a29b5110306ba39712c,1386886758,36.568076,-97.975869,1
467781,12/12/2020 22:35,3.59636E+15,fraud_Jast Ltd,shopping_net,768.45,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,475d1afb1ac28118151d7f3010e34755,1386887701,41.534011,-78.56051,1
467904,12/12/2020 23:18,3.59622E+15,"fraud_Roberts, Ryan and Smith",personal_care,20.2,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,3/25/1988,e95ea937cfff41e83168b1a7e4e01ee7,1386890295,39.945376,-91.126089,1
467970,12/12/2020 23:39,4.60707E+15,fraud_Dare-Marvin,entertainment,552.04,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,b47bf6fc5222e4976b5dbbb85d896c5a,1386891556,35.420831,-98.207166,1
468012,12/12/2020 23:51,4.60707E+15,fraud_Gaylord-Powlowski,home,214.51,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,8a3ee25bc088a144900b13f3263b6cc6,1386892316,36.509993,-98.234417,1
468152,12/13/2020 0:42,4.42349E+15,fraud_Kutch and Sons,grocery_pos,320.05,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,3/6/1957,5dfe356b73f6ac0f7878d830180c7e9e,1386895376,41.423061,-89.880625,1
468426,12/13/2020 2:16,4.60707E+15,"fraud_Reichert, Shanahan and Hayes",shopping_net,832.81,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,8ef6117d484dd275d003ae6cd163fcb1,1386901016,36.209032,-97.251376,1
471208,12/13/2020 15:55,4.42349E+15,fraud_Medhurst PLC,shopping_net,985.83,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,3/6/1957,c595ca537ea142f6463d56e0bc133bae,1386950106,42.471876,-89.696683,1
472941,12/13/2020 22:09,3.7755E+14,fraud_Jacobi and Sons,shopping_pos,949.49,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,0254cc4709d51e5d4039c465179ec0f2,1386972563,44.947379,-70.018025,1
473010,12/13/2020 22:25,3.7755E+14,fraud_Schimmel-Olson,kids_pets,21.89,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,6197e4c8d5863c251f6347b32df062bd,1386973533,44.122173,-69.422064,1
473095,12/13/2020 22:44,4.60707E+15,"fraud_Dare, Casper and Bartoletti",kids_pets,19.34,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,830e1ab3e3b355a8aca289c66f4d78af,1386974643,35.330601,-97.054923,1
473151,12/13/2020 22:56,3.7755E+14,fraud_Klocko LLC,misc_net,823.31,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,5776a03d8bcc253abcd3b125db17979e,1386975364,43.377701,-69.283263,1
473228,12/13/2020 23:14,3.7755E+14,fraud_Zemlak Group,misc_net,746.79,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,24cde32c8ff5e9ab25a41816c8f4b272,1386976440,44.876462,-71.021258,1
473378,12/13/2020 23:47,4.60707E+15,fraud_Adams-Barrows,health_fitness,19.86,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,3/21/1985,a0d54aedbccbe91ce09b6250ee188b68,1386978476,35.953568,-97.58238,1
473720,12/14/2020 1:23,6.01149E+15,fraud_Koepp-Witting,grocery_pos,304.93,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,ff5905c7ff04b90358ab2b3fabd4ba5a,1386984224,32.769656,-93.415834,1
473849,12/14/2020 1:58,4.42349E+15,fraud_Prohaska-Murray,gas_transport,20.22,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,3/6/1957,3a3aa61a4ed599ce8e14219e075ce83c,1386986317,41.64844,-90.637185,1
474056,12/14/2020 3:02,6.01149E+15,fraud_Kunze Inc,grocery_pos,273.42,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,7bed124fa0c0fef211b0a4d7ea4d1ea3,1386990166,33.783599,-93.359635,1
474087,12/14/2020 3:08,6.01149E+15,"fraud_Robel, Cummerata and Prosacco",gas_transport,9.43,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,cede37d5ddf96277b1a15c258e26ba1d,1386990528,32.988521,-93.042421,1
474131,12/14/2020 3:20,4.42349E+15,fraud_Friesen-Stamm,gas_transport,18.9,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,3/6/1957,e70e903b4621a3c8d9c005a2194447b8,1386991258,41.068658,-90.696409,1
476145,12/14/2020 12:29,3.7755E+14,"fraud_Herman, Treutel and Dickens",misc_net,938.8,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,ee229d7ceb19dab4c4d685cd2733b333,1387024144,44.235248,-70.460132,1
479206,12/14/2020 22:00,3.7755E+14,fraud_Botsford PLC,home,282.22,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,6a56892bc25617b9656f0901f7d8b918,1387058450,44.841518,-70.023187,1
479216,12/14/2020 22:03,3.7755E+14,fraud_Kuhn LLC,misc_net,777.27,Kevin,Walters,M,87227 Tapia Burgs,Auburn,ME,4210,44.0948,-70.239,23045,Tourist information centre manager,9/2/1958,4e76831c0f67f28787859cfd6d9be55a,1387058610,43.428598,-69.752895,1
479321,12/14/2020 22:25,4.42349E+15,fraud_Beier-Hyatt,shopping_pos,916.68,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,3/6/1957,32383aab46f65b9b7df29eceec451b4f,1387059924,42.620528,-90.773483,1
479443,12/14/2020 22:49,6.01149E+15,fraud_Goyette Inc,shopping_net,991.1,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,494b8535244dd506b8f875de3b1d9c46,1387061385,33.359804,-92.974237,1
479444,12/14/2020 22:49,6.01149E+15,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,991.22,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,7ee4e9bb090a4c3cfb0c01d5c2920455,1387061388,33.846656,-93.72454,1
479884,12/15/2020 0:13,6.01149E+15,fraud_Volkman Ltd,misc_net,725.33,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,31941916823bb3b58e6c52e95d453539,1387066388,32.843962,-91.853305,1
480010,12/15/2020 0:50,1.8004E+14,fraud_Friesen-D'Amore,gas_transport,6.67,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,888ca74a571ae8a64f09efa15333ed7a,1387068652,40.039461,-73.150942,1
480500,12/15/2020 3:24,6.01149E+15,fraud_Conroy-Cruickshank,gas_transport,9.65,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,4401d42a3e52c88fd7bfedd6d59f1ba0,1387077871,33.094837,-92.89414,1
480763,12/15/2020 4:39,1.8004E+14,fraud_Miller-Hauck,grocery_pos,308.23,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,4f00c663533435c8c732d02681792a6d,1387082381,41.763902,-74.740054,1
483521,12/15/2020 16:18,1.8004E+14,fraud_Rau and Sons,grocery_pos,328.18,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,b9413d7a4d8194924bc257fcaea797d2,1387124335,40.59868,-73.301794,1
485148,12/15/2020 21:37,6.01149E+15,fraud_Schumm PLC,shopping_net,1065.89,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,64d951d57294b97baf576ba8f08b71a2,1387143457,32.83108,-93.199649,1
485390,12/15/2020 22:22,1.8004E+14,fraud_Cormier LLC,shopping_net,982.07,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,8b4a2652c4c39850db71607e7c208e7c,1387146164,40.590142,-74.666428,1
485393,12/15/2020 22:23,6.01149E+15,fraud_Lubowitz-Walter,kids_pets,22.18,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,b3ac952666242217e5667c95b72d9a3a,1387146187,34.300665,-92.419792,1
485405,12/15/2020 22:25,1.8004E+14,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,898.36,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,27631ab54b82510217b550dedf4287e8,1387146350,41.598438,-72.982478,1
485605,12/15/2020 23:05,1.8004E+14,fraud_Ankunding LLC,shopping_net,856.86,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,26f374ce6ee947de8c05dae2745b32ff,1387148740,40.408171,-74.586272,1
485616,12/15/2020 23:08,6.01149E+15,"fraud_Okuneva, Schneider and Rau",shopping_pos,717.16,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,8d046496f0ab38b5e76a51f9c0e704c1,1387148882,34.228731,-93.199492,1
485783,12/15/2020 23:39,1.8004E+14,fraud_Fisher Inc,shopping_net,844.77,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,611fff72c27462a7197d771d34f200ab,1387150788,41.741763,-74.818218,1
485859,12/15/2020 23:54,1.8004E+14,fraud_Mayert Group,shopping_pos,1038.53,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,b624ad3c240f7cf53d8e145678573e8e,1387151659,40.054711,-73.878917,1
485998,12/16/2020 1:00,2.71402E+15,fraud_Kuhic Inc,grocery_pos,273.2,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,08b4356b5a9d51f2b3f024d74f2783dc,1387155654,39.923508,-79.920082,1
486051,12/16/2020 1:35,1.8004E+14,fraud_Strosin-Cruickshank,grocery_pos,309.95,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,cc5e2f93bcf9c3566e3a20d904027a58,1387157725,40.577674,-74.907917,1
486094,12/16/2020 2:02,2.71402E+15,fraud_Hackett-Lueilwitz,grocery_pos,291.1,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,32a55d346cceb51cfe68a451e31986d3,1387159372,39.835289,-81.103024,1
488646,12/16/2020 22:30,6.39046E+11,"fraud_Heathcote, Yost and Kertzmann",shopping_net,899.98,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,c2a98e8e8ecf4a9c8e8514ff373be2ac,1387233051,40.561211,-79.681402,1
488648,12/16/2020 22:31,1.8004E+14,"fraud_Rippin, Kub and Mann",misc_net,821.87,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,924443f2c7faeaf93ae5be6c7d7ddbd9,1387233071,41.315805,-73.064565,1
488657,12/16/2020 22:32,2.71402E+15,fraud_Mosciski Group,travel,9.27,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,1468ce0b7d665a8abec31eb17af90823,1387233135,39.653302,-79.816472,1
488684,12/16/2020 22:42,2.71402E+15,"fraud_Ruecker, Beer and Collier",shopping_net,949.82,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,9848478758f1a3d08e475cc30787a5bf,1387233738,40.889993,-80.089213,1
488699,12/16/2020 22:47,1.8004E+14,"fraud_Rippin, Kub and Mann",misc_net,848.91,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,7c646e95b7ce0f284a9aada19d5c9fdc,1387234023,40.073253,-74.063548,1
488786,12/16/2020 23:22,6.39046E+11,fraud_Gerlach Inc,shopping_net,958.42,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,4fb62e1e354c4444603edb1b136e0a35,1387236156,40.371957,-80.520508,1
488792,12/16/2020 23:25,1.8004E+14,fraud_Koelpin and Sons,misc_net,806.56,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,12/29/1957,ccc4bf93e1fecd503ec40ef1f18afe78,1387236310,41.228507,-73.558441,1
488869,12/16/2020 23:49,6.39046E+11,fraud_Terry-Huel,shopping_net,1158.64,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,f73e97a4f59f9c0ffc90ffc9deede858,1387237769,40.843626,-80.706604,1
488895,12/16/2020 23:59,2.71402E+15,"fraud_Zboncak, Rowe and Murazik",shopping_net,1056.99,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,07d67e15b9ed9f64d0e1fd7db283a0af,1387238372,39.874947,-79.921557,1
488998,12/17/2020 0:52,2.71402E+15,"fraud_Schaefer, McGlynn and Bosco",gas_transport,15.41,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,a8b138ab50a7f2d618a6b4185facb1ef,1387241538,39.437397,-81.073268,1
489181,12/17/2020 2:37,6.39046E+11,"fraud_Jenkins, Hauck and Friesen",gas_transport,7.05,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,5f583859195e5cabe10cac8a915ae4df,1387247851,39.90995,-79.489081,1
489185,12/17/2020 2:39,6.39046E+11,"fraud_Ferry, Reichel and DuBuque",grocery_net,7.76,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,7647093ec15f613d0517981e9c10f7d7,1387247965,41.057813,-79.664898,1
491539,12/17/2020 19:42,6.39046E+11,"fraud_Parisian, Schiller and Altenwerth",misc_net,759.36,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,41df2bed8c3534f38ee9aa65f2d7dfc2,1387309324,40.451613,-79.438631,1
491777,12/17/2020 20:57,2.71402E+15,fraud_Stamm-Witting,shopping_net,925.28,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,edce6d8702c805036ff866e1170a3035,1387313872,39.554361,-80.379558,1
492026,12/17/2020 22:24,2.71402E+15,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,986.73,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,2d671407b86cfbf99b47245d65e25563,1387319055,39.159426,-80.605666,1
492082,12/17/2020 22:43,6.39046E+11,fraud_Lemke-Gutmann,shopping_net,838.93,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,2587654a81248dccf3cd3add48096ec2,1387320224,39.788872,-80.165622,1
492141,12/17/2020 23:01,6.39046E+11,"fraud_Swaniawski, Lowe and Robel",shopping_pos,751.63,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,519228eb91276960abd7867b23305747,1387321317,39.594265,-79.766653,1
492158,12/17/2020 23:08,6.39046E+11,fraud_Macejkovic-Lesch,shopping_pos,881.41,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,ef6d6c2c19ac18ec331283f4f56f7881,1387321737,40.736297,-79.220611,1
492197,12/17/2020 23:22,6.39046E+11,"fraud_Rippin, Kub and Mann",misc_net,985.69,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,b2fbdf7fb226106817f76adc6b2317a0,1387322578,39.674765,-80.29929,1
492200,12/17/2020 23:23,2.71402E+15,fraud_Donnelly PLC,misc_net,890.81,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,1f6496cac08540f0a2b682ef0974ef1e,1387322623,39.270964,-80.371766,1
492277,12/17/2020 23:43,2.71402E+15,fraud_Heathcote LLC,shopping_net,913.22,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,8/30/1995,1057d6d529be008234caffe13808aead,1387323838,40.754469,-80.878766,1
492284,12/17/2020 23:46,6.39046E+11,fraud_Kassulke PLC,shopping_net,835.25,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",6/20/1986,ce6f26645fea47870406746d8b901f62,1387324010,41.424378,-80.12758,1
495154,12/18/2020 18:44,3.74125E+14,fraud_Sawayn PLC,shopping_pos,837.53,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,a3a5addfcb05517dbe7a32703008be20,1387392279,39.319253,-76.39384,1
495791,12/18/2020 22:02,3.74125E+14,"fraud_Zboncak, Rowe and Murazik",shopping_net,835.63,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,1af30b050fec0ae3ca516e08c241a2da,1387404124,38.406167,-76.850227,1
495812,12/18/2020 22:08,3.74125E+14,"fraud_Kihn, Abernathy and Douglas",shopping_net,982.14,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,16ecdcdda5398b023eef4e61db54cc33,1387404488,39.434586,-77.83913,1
496197,12/19/2020 0:16,3.74125E+14,fraud_Cartwright-Harris,grocery_pos,315.1,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,28539557e3b3116d77e59b50ca644752,1387412171,39.524672,-76.395946,1
496267,12/19/2020 0:48,3.74125E+14,fraud_Murray-Smitham,grocery_pos,297.87,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,9282a84cbc4e1a0617aa7742c5080b9c,1387414122,38.870956,-76.05812,1
497523,12/19/2020 11:11,3.74125E+14,"fraud_Rowe, Batz and Goodwin",grocery_pos,267.86,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,455d95c010f72209ba89384bd69657ca,1387451517,39.05887,-76.798061,1
499585,12/19/2020 22:22,3.74125E+14,fraud_Klocko LLC,misc_net,831.86,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,a113a052ea81949175e2db4679743537,1387491775,38.994232,-76.757242,1
